lower,upper,mean,std
0.56,0.66,0.61,0.11
0.48,0.60,0.54,0.13
0.60,0.73,0.67,0.15
0.68,0.80,0.74,0.13
0.74,0.88,0.81,0.15
0.87,1.03,0.95,0.18
1.01,1.20,1.11,0.22
1.21,1.41,1.31,0.22
1.26,1.47,1.37,0.24
1.41,1.75,1.58,0.39
1.45,1.79,1.62,0.40
1.57,1.93,1.75,0.41
1.71,2.04,1.87,0.38
1.88,2.28,2.08,0.45
2.11,2.46,2.28,0.40
2.12,2.43,2.28,0.35
